N,P,K,temperature,humidity,ph,rainfall,label
130.51,56.63,34.71,21.61,65.22,6.47,83.17,maize
90.4,53.35,49.85,25.57,71.2,6.32,84.15,maize
127.12,60.99,48.62,24.38,62.37,6.11,83.19,maize
106.53,54.86,42.11,22.35,65.78,6.2,75.57,maize
112.46,54.61,41.28,24.31,71.24,6.28,85.29,maize
118.89,41.73,41.19,21.94,67.61,6.44,78.95,maize
116.36,50.51,41.27,20.96,64.43,6.38,76.43,maize
102.73,59.53,49.59,25.58,67.37,6.44,80.6,maize
116.1,51.74,51.45,25.86,71.59,6.41,77.7,maize
114.16,54.99,48.1,22.8,64.35,6.75,76.37,maize
110.67,59.41,45.75,23.49,64.79,6.16,74.74,maize
98.63,56.05,39.09,24.53,67.5,6.46,74.17,maize
114.16,45.18,39.52,22.75,66.15,6.38,66.63,maize
111.33,52.73,39.66,23.55,64.3,6.64,80.55,maize
117.35,56.61,40.77,21.44,60.1,6.98,66.0,maize
107.9,53.2,43.59,22.03,58.77,6.2,63.41,maize
108.73,51.58,41.56,23.36,63.06,6.59,71.78,maize
112.25,48.37,48.28,22.32,66.36,6.47,73.55,maize
112.17,53.07,51.73,24.56,66.61,6.16,65.84,maize
103.36,53.77,47.24,21.51,68.92,6.4,58.23,maize
105.25,42.07,41.24,22.08,62.97,6.33,71.72,maize
104.06,62.51,51.07,21.1,69.18,6.08,68.21,maize
125.25,43.8,47.87,20.91,64.52,6.36,89.14,maize
101.89,54.65,48.14,22.58,62.26,6.39,75.78,maize
118.84,50.28,42.75,23.54,64.44,6.36,74.86,maize
103.04,51.0,47.2,21.17,68.88,6.44,64.36,maize
112.83,55.84,48.81,24.93,63.78,6.26,69.95,maize
100.19,51.27,46.42,23.03,63.36,6.25,77.9,maize
104.98,49.8,44.24,22.56,61.43,6.57,82.05,maize
110.41,55.66,47.64,22.95,67.97,6.73,75.67,maize
114.4,59.37,43.31,21.12,68.02,6.09,89.91,maize
118.7,55.94,45.26,25.92,61.85,6.17,70.02,maize
107.38,49.97,45.77,23.23,62.29,6.72,63.4,maize
97.23,56.88,43.96,23.7,62.94,6.19,69.62,maize
103.16,57.62,42.6,24.27,66.96,6.61,82.51,maize
117.84,58.85,42.42,22.56,58.9,6.46,69.39,maize
114.02,57.64,38.24,21.31,63.84,6.3,76.39,maize
98.45,55.24,36.56,19.41,67.39,6.14,70.33,maize
95.83,47.96,43.01,22.32,68.28,6.49,72.82,maize
117.58,60.58,47.06,22.32,68.4,6.75,80.5,maize
127.71,59.63,49.24,21.18,61.29,6.39,61.09,maize
104.07,59.34,41.67,23.89,60.5,6.3,83.53,maize
112.09,56.45,53.52,25.16,62.08,6.66,69.87,maize
109.82,55.08,50.37,21.12,66.51,6.5,81.76,maize
107.9,60.02,41.44,24.91,66.17,6.12,78.4,maize
111.79,53.22,41.32,22.6,60.19,6.74,65.6,maize
103.39,60.72,47.93,24.2,70.06,6.34,66.28,maize
118.44,58.98,43.37,20.89,69.13,6.52,63.55,maize
117.8,47.8,42.59,21.13,62.87,6.23,69.89,maize
117.24,56.47,48.14,24.82,63.76,6.42,79.48,maize
127.07,59.5,51.91,24.7,68.52,6.04,82.34,maize
112.13,55.27,42.36,22.29,66.39,6.57,62.52,maize
112.18,52.2,40.25,23.65,63.9,6.27,68.59,maize
112.81,54.95,39.54,21.6,64.39,6.48,66.25,maize
114.88,50.88,58.64,21.43,62.37,6.44,67.48,maize
118.28,64.01,43.06,23.29,63.27,6.4,86.93,maize
118.94,50.48,52.73,24.94,66.62,6.27,75.55,maize
102.05,57.34,43.42,19.28,68.09,6.44,83.99,maize
108.64,55.94,50.58,23.65,65.96,7.04,73.59,maize
111.69,63.67,40.97,21.27,60.23,6.51,80.21,maize
117.41,48.23,50.03,25.0,64.68,6.41,80.63,maize
113.67,58.21,39.57,22.71,60.96,6.53,79.42,maize
19.67,61.98,24.81,23.14,17.38,6.78,87.44,chickpea
17.48,67.98,30.41,22.04,18.74,6.44,83.96,chickpea
20.21,66.91,29.28,21.52,18.49,6.74,72.17,chickpea
19.35,68.45,29.69,20.84,18.95,6.29,65.86,chickpea
19.99,61.21,30.73,20.81,17.8,6.4,81.46,chickpea
14.62,59.01,30.87,19.66,17.3,6.95,90.33,chickpea
14.99,62.27,25.88,20.21,20.13,6.92,74.64,chickpea
20.73,64.28,30.6,25.0,18.81,6.0,78.07,chickpea
17.54,58.64,30.04,21.13,16.55,7.09,83.98,chickpea
17.76,64.53,32.25,23.69,16.59,6.94,75.95,chickpea
23.85,58.72,22.43,22.05,15.62,6.7,79.61,chickpea
18.66,50.09,26.28,20.87,17.67,7.07,84.73,chickpea
18.43,68.49,25.44,22.91,17.77,6.81,84.26,chickpea
17.73,65.34,29.97,25.22,17.59,7.07,84.31,chickpea
16.09,69.07,26.47,19.02,19.14,7.02,80.35,chickpea
19.13,70.56,32.37,21.13,18.98,6.44,76.27,chickpea
16.5,45.33,26.08,23.63,16.54,6.61,72.26,chickpea
22.89,60.01,31.64,21.86,16.44,6.51,85.58,chickpea
19.81,65.16,19.46,23.48,17.34,7.29,76.59,chickpea
20.09,64.4,27.08,23.16,17.14,7.07,85.29,chickpea
21.65,55.17,29.3,22.4,15.29,6.61,86.25,chickpea
15.77,68.53,27.91,22.43,16.47,6.87,83.08,chickpea
23.79,69.03,34.18,22.28,16.37,7.08,71.31,chickpea
18.54,64.91,31.48,24.12,17.99,6.33,78.16,chickpea
20.58,57.66,34.71,21.67,16.09,6.87,72.35,chickpea
25.67,61.8,25.32,23.44,21.16,6.25,86.02,chickpea
21.61,61.17,31.14,22.66,17.08,7.1,71.0,chickpea
26.53,70.18,26.05,21.99,19.89,6.63,78.92,chickpea
18.66,67.78,27.97,21.99,18.72,6.7,74.22,chickpea
15.53,49.88,26.07,19.71,17.03,6.83,80.36,chickpea
17.24,53.21,26.69,20.15,16.35,6.93,70.64,chickpea
20.06,55.88,38.09,19.6,18.26,6.67,74.86,chickpea
21.05,61.04,26.44,22.57,18.52,7.08,75.93,chickpea
24.9,58.69,23.41,22.7,17.89,6.53,86.22,chickpea
18.43,66.78,29.72,23.0,18.91,6.87,73.12,chickpea
23.07,60.15,36.67,22.64,19.0,6.56,77.29,chickpea
20.32,52.2,26.1,21.86,17.9,6.8,87.45,chickpea
18.67,64.54,29.52,21.74,18.34,6.23,80.44,chickpea
17.87,53.8,23.71,21.41,15.5,6.97,78.4,chickpea
14.39,55.51,32.52,21.21,17.63,6.66,79.14,chickpea
14.33,59.7,28.14,25.94,17.72,6.64,86.59,chickpea
19.48,61.69,27.09,24.07,17.16,6.84,87.55,chickpea
18.98,60.0,31.96,22.91,16.55,6.8,73.7,chickpea
17.52,55.68,34.05,24.13,21.47,6.74,74.39,chickpea
16.77,70.72,24.87,21.58,17.25,7.19,73.24,chickpea
23.67,68.76,29.44,22.62,15.95,6.73,78.57,chickpea
11.4,62.77,31.18,19.74,16.12,6.56,76.47,chickpea
18.98,53.61,26.64,22.41,17.37,6.72,78.47,chickpea
21.52,58.97,32.87,22.14,19.19,7.06,70.26,chickpea
23.07,71.89,26.76,21.96,17.52,6.86,83.47,chickpea
17.77,68.75,27.14,21.82,19.36,7.24,76.58,chickpea
22.61,61.47,24.73,20.73,16.39,6.62,77.22,chickpea
20.09,68.52,31.41,25.54,17.68,6.95,82.76,chickpea
25.02,57.48,32.82,24.17,17.04,6.73,83.36,chickpea
18.55,54.17,36.11,21.69,20.31,6.62,78.62,chickpea
22.66,58.63,27.0,21.04,18.36,6.58,80.59,chickpea
12.48,56.28,29.4,21.32,16.68,6.53,80.47,chickpea
24.96,50.68,29.08,23.3,18.45,6.73,77.0,chickpea
20.04,59.33,22.71,21.05,15.4,7.07,85.48,chickpea
17.37,65.37,38.16,21.17,19.73,6.84,78.42,chickpea
16.31,56.29,28.68,18.91,18.71,6.67,83.06,chickpea
18.6,79.99,24.48,20.76,18.94,7.34,73.38,chickpea
26.1,53.89,34.31,22.1,20.97,7.2,75.68,chickpea
29.79,52.51,28.95,24.41,17.02,6.59,80.87,chickpea
21.51,62.58,27.51,22.26,18.85,7.13,82.19,chickpea
15.82,60.19,27.93,23.76,15.77,6.89,72.9,chickpea
24.24,65.14,30.73,22.67,17.55,6.92,79.67,chickpea
22.44,60.39,21.73,21.32,20.02,7.11,80.7,chickpea
19.58,57.77,32.1,22.77,16.69,6.92,88.22,chickpea
16.82,58.75,31.55,22.96,17.44,6.62,76.91,chickpea
21.28,62.86,29.94,20.18,16.55,6.91,71.86,chickpea
20.75,57.59,27.99,22.04,20.24,6.82,78.03,chickpea
15.09,63.41,33.79,22.81,19.55,6.87,71.31,chickpea
19.85,63.5,32.4,21.34,17.92,6.84,88.48,chickpea
23.35,64.31,31.32,20.63,16.53,6.73,86.94,chickpea
21.32,63.74,24.99,20.05,19.49,6.74,71.24,chickpea
22.94,61.72,39.84,23.67,18.46,6.71,81.55,chickpea
19.66,50.41,33.09,22.37,14.33,6.59,74.48,chickpea
23.27,59.71,34.96,19.88,16.57,7.02,75.63,chickpea
16.47,56.49,27.47,22.72,19.49,6.35,78.06,chickpea
20.05,60.55,32.78,22.16,17.23,6.47,67.84,chickpea
18.76,60.1,33.07,21.5,21.1,6.73,76.78,chickpea
21.27,53.53,30.7,19.25,18.9,6.77,81.4,chickpea
20.52,51.51,27.0,24.09,18.66,6.6,82.81,chickpea
21.36,73.03,33.7,22.55,17.4,7.2,79.32,chickpea
17.1,51.87,27.13,21.51,19.02,6.98,87.67,chickpea
20.51,65.54,37.53,23.21,20.14,6.37,75.05,chickpea
17.5,42.15,30.25,23.86,17.29,6.8,74.31,chickpea
18.36,61.9,26.01,23.57,15.44,6.83,76.72,chickpea
24.96,65.08,23.05,18.77,16.66,6.62,78.74,chickpea
20.1,64.49,25.45,19.6,18.34,6.66,79.31,chickpea
17.86,58.85,34.96,19.84,16.37,6.91,90.45,chickpea
19.31,51.58,23.33,22.35,16.33,7.29,95.61,chickpea
20.75,63.24,29.61,23.52,18.0,6.77,89.07,chickpea
22.09,74.21,24.54,21.26,16.79,6.96,76.71,chickpea
22.01,52.21,29.69,25.06,20.18,6.28,82.43,chickpea
22.75,56.71,26.33,22.88,18.13,6.89,78.95,chickpea
27.77,53.91,28.35,22.69,18.98,6.41,88.65,chickpea
15.14,60.04,28.98,21.06,19.51,6.16,75.13,chickpea
16.99,65.83,35.17,23.03,19.86,6.19,81.09,chickpea
15.39,57.5,30.82,22.64,22.38,5.76,118.04,kidneybeans
15.06,49.07,33.35,22.77,22.56,6.55,125.57,kidneybeans
16.77,66.61,27.69,20.7,19.85,6.28,135.55,kidneybeans
20.18,68.16,30.3,21.86,23.72,6.71,126.64,kidneybeans
17.23,49.27,31.34,22.12,21.47,6.33,128.64,kidneybeans
23.81,62.09,27.59,21.34,21.58,5.98,130.99,kidneybeans
22.38,59.71,27.4,19.84,19.88,5.84,125.22,kidneybeans
18.53,53.86,32.91,22.69,21.05,6.39,133.64,kidneybeans
14.66,64.71,23.97,21.31,22.01,6.42,130.54,kidneybeans
20.61,69.42,24.86,22.04,21.05,6.76,133.55,kidneybeans
23.46,54.92,37.5,23.21,19.99,6.84,113.11,kidneybeans
17.1,58.44,26.73,23.29,21.28,6.28,140.78,kidneybeans
14.55,69.11,27.25,24.69,22.91,6.83,123.41,kidneybeans
16.12,62.19,29.82,19.86,21.74,6.02,137.02,kidneybeans
23.22,58.12,30.12,22.14,20.54,7.02,117.2,kidneybeans
20.18,66.61,28.72,21.56,19.67,6.55,130.93,kidneybeans
21.57,49.94,31.68,22.93,20.66,5.91,124.53,kidneybeans
17.1,60.53,30.21,21.99,21.88,6.23,129.41,kidneybeans
21.39,66.72,26.79,21.98,21.92,6.29,134.38,kidneybeans
22.48,57.04,32.94,22.11,21.96,6.71,134.1,kidneybeans
27.63,49.66,28.17,22.1,20.6,6.34,121.93,kidneybeans
23.69,66.57,31.38,20.98,21.55,6.42,127.95,kidneybeans
20.1,69.34,28.17,21.95,21.67,6.38,132.1,kidneybeans
19.05,51.24,25.87,21.85,21.79,6.45,109.87,kidneybeans
21.78,59.42,26.53,25.79,21.26,6.46,146.4,kidneybeans
18.06,57.35,34.96,20.54,21.07,6.26,133.08,kidneybeans
21.35,53.91,33.24,23.77,19.95,6.08,120.62,kidneybeans
16.17,67.1,28.92,22.08,19.96,6.15,137.37,kidneybeans
22.49,49.22,26.7,23.45,20.5,6.11,117.83,kidneybeans
15.56,60.64,28.73,24.21,20.93,6.01,130.78,kidneybeans
24.49,55.1,24.32,21.78,19.65,6.66,113.44,kidneybeans
18.91,69.82,32.9,21.73,20.22,6.2,123.0,kidneybeans
24.99,58.97,25.5,23.98,22.04,6.19,131.43,kidneybeans
20.17,51.95,29.73,20.78,20.37,6.02,127.77,kidneybeans
20.62,51.2,26.93,22.5,21.46,6.27,106.61,kidneybeans
24.29,71.82,35.28,23.32,21.67,6.09,126.57,kidneybeans
16.23,60.81,25.23,23.38,20.65,6.44,126.52,kidneybeans
18.47,65.62,26.09,22.1,20.46,6.44,124.37,kidneybeans
20.9,63.5,22.18,21.11,21.12,6.5,129.77,kidneybeans
24.37,58.52,30.34,21.75,20.56,6.04,120.47,kidneybeans
19.37,55.66,30.09,19.77,21.43,6.29,128.72,kidneybeans
18.46,56.61,33.27,22.27,22.99,5.9,122.94,kidneybeans
16.24,54.76,27.37,21.78,21.78,5.96,130.08,kidneybeans
15.2,57.3,34.4,23.19,21.27,6.41,129.8,kidneybeans
22.09,69.36,26.54,22.39,21.64,6.44,129.65,kidneybeans
24.36,56.66,25.5,24.41,21.0,6.11,125.3,kidneybeans
18.56,66.71,32.97,22.97,21.54,6.26,133.55,kidneybeans
12.12,52.21,29.87,21.88,20.05,6.4,116.85,kidneybeans
20.72,60.83,30.19,21.26,20.81,6.56,129.53,kidneybeans
23.21,59.47,24.33,21.8,20.85,6.58,134.47,kidneybeans
21.42,54.29,30.43,22.11,20.76,5.94,128.87,kidneybeans
19.9,65.36,25.13,20.81,24.65,6.03,127.4,kidneybeans
21.46,53.45,35.76,22.4,21.15,6.7,118.41,kidneybeans
18.37,57.7,25.42,22.91,21.47,6.3,130.47,kidneybeans
22.89,62.26,29.2,24.33,20.3,6.6,123.39,kidneybeans
22.55,72.18,22.45,22.21,20.6,6.68,121.61,kidneybeans
29.1,49.81,31.17,21.92,21.51,6.11,121.24,kidneybeans
13.92,60.72,25.01,20.54,21.09,6.22,133.56,kidneybeans
15.49,62.81,31.08,22.05,20.2,6.23,132.37,kidneybeans
18.75,65.65,29.09,25.09,21.03,6.21,111.58,kidneybeans
15.24,62.54,29.24,22.92,20.32,6.21,119.8,kidneybeans
20.98,58.55,36.22,21.47,22.12,5.99,121.12,kidneybeans
17.19,68.4,31.46,22.71,21.23,5.98,136.69,kidneybeans
24.63,59.77,30.04,23.47,20.82,6.2,120.89,kidneybeans
18.85,56.83,32.43,22.01,20.57,6.09,112.5,kidneybeans
25.2,63.39,32.89,21.71,22.46,6.29,137.11,kidneybeans
19.96,59.7,28.24,22.62,21.22,6.62,137.83,kidneybeans
20.3,68.13,20.94,21.79,21.25,6.47,128.53,kidneybeans
19.81,56.92,27.33,25.35,22.12,6.58,125.09,kidneybeans
18.22,63.7,29.92,22.31,20.98,6.09,117.74,kidneybeans
19.19,50.76,31.99,23.76,20.23,5.79,128.28,kidneybeans
20.79,60.14,25.55,19.62,22.71,6.2,129.2,kidneybeans
19.76,62.76,25.74,21.83,19.64,5.98,119.09,kidneybeans
13.98,56.93,27.63,20.72,20.87,6.25,118.03,kidneybeans
26.71,64.79,33.74,22.01,21.89,6.44,116.51,kidneybeans
17.73,79.43,28.63,23.23,20.79,6.46,116.71,kidneybeans
16.65,67.56,30.66,18.78,21.02,6.2,130.92,kidneybeans
21.07,62.28,30.29,22.94,19.85,6.05,117.9,kidneybeans
15.53,65.26,33.59,23.42,20.4,6.12,121.33,kidneybeans
23.71,63.51,35.8,21.05,20.77,5.93,113.19,kidneybeans
19.48,57.76,28.29,20.2,21.2,6.18,132.62,kidneybeans
21.84,51.26,31.32,21.6,22.53,6.24,120.8,kidneybeans
18.64,49.99,34.25,25.68,19.27,6.19,124.08,kidneybeans
18.02,68.12,34.16,22.13,23.07,6.26,122.98,kidneybeans
20.93,55.03,34.84,23.42,20.65,6.2,117.44,kidneybeans
20.88,51.38,30.01,21.72,21.57,6.51,131.56,kidneybeans
19.59,55.27,29.0,22.48,21.49,6.11,116.94,kidneybeans
20.58,69.06,36.24,23.69,20.01,6.6,117.95,kidneybeans
17.43,62.85,25.4,23.7,20.95,6.35,118.14,kidneybeans
22.82,63.42,28.79,23.92,18.34,6.34,124.1,kidneybeans
17.35,61.18,31.67,21.39,20.88,6.24,128.27,kidneybeans
24.09,56.91,34.39,20.54,21.3,5.82,125.6,kidneybeans
22.41,73.49,30.16,21.38,22.03,6.26,125.82,kidneybeans
23.06,67.29,24.23,22.58,20.98,5.98,111.47,kidneybeans
19.78,56.91,27.58,22.29,20.65,6.25,138.14,kidneybeans
19.9,72.54,34.15,23.95,20.27,6.18,117.34,kidneybeans
21.39,59.55,31.47,22.95,21.17,6.16,116.89,kidneybeans
18.53,64.78,29.45,22.41,21.87,6.37,112.71,kidneybeans
19.73,54.19,29.82,23.09,21.51,6.67,120.83,kidneybeans
19.02,63.83,33.21,20.95,21.69,6.42,123.75,kidneybeans
26.33,48.66,31.42,30.67,47.56,6.32,79.37,pigeonpeas
26.37,47.29,27.45,31.06,51.37,6.56,86.3,pigeonpeas
26.07,41.52,30.84,29.98,46.98,6.91,79.94,pigeonpeas
24.34,36.23,31.42,30.17,50.4,7.09,63.4,pigeonpeas
32.79,51.82,26.73,31.69,47.29,6.49,79.32,pigeonpeas
35.12,46.81,30.17,31.48,47.93,7.12,90.47,pigeonpeas
29.29,41.06,33.57,30.49,52.15,7.03,82.91,pigeonpeas
23.74,52.45,30.93,30.54,52.05,6.83,84.99,pigeonpeas
28.32,44.11,28.17,29.15,49.04,7.0,77.75,pigeonpeas
27.04,44.49,31.78,31.08,56.58,6.4,78.48,pigeonpeas
29.89,36.57,35.8,29.81,47.35,6.99,65.35,pigeonpeas
28.38,40.04,29.95,30.62,52.64,6.85,93.91,pigeonpeas
27.76,43.29,34.09,29.89,51.39,5.77,83.02,pigeonpeas
27.19,42.83,27.81,31.51,43.19,7.54,87.69,pigeonpeas
29.04,54.5,30.92,28.51,53.42,6.34,84.0,pigeonpeas
32.49,47.67,25.16,30.34,49.59,6.56,64.59,pigeonpeas
22.56,42.5,33.75,34.59,52.86,6.55,77.19,pigeonpeas
32.01,48.07,31.3,30.4,54.0,7.31,80.06,pigeonpeas
28.16,47.52,28.46,26.35,51.65,6.57,88.78,pigeonpeas
28.26,52.49,27.14,31.89,44.56,6.98,78.42,pigeonpeas
31.41,43.21,32.27,30.84,51.28,6.86,91.2,pigeonpeas
25.16,52.02,28.82,32.01,57.8,6.55,65.63,pigeonpeas
28.18,41.54,28.25,29.45,48.22,7.11,87.5,pigeonpeas
32.33,56.56,27.43,25.84,56.75,6.81,79.63,pigeonpeas
19.99,38.24,32.31,29.76,42.82,6.51,86.99,pigeonpeas
32.83,46.07,39.45,31.71,56.03,7.08,85.54,pigeonpeas
